Sensitivity,Country,Cell,System,Electrolyser,Year,Optimization,PV,Onshore,Lcoh,H2_volume,Unit
Default,FRA,FRA_FR21,PV,PEM,2025,Volume,1.3605212874599513,0.0,18.841060927907463,28286.96260768477,969.0236565388052
Default,FRA,FRA_FR21,PV,PEM,2025,Profit,2.3696509663196403,0.0,14.459221909635152,43952.97473322361,556.3592830808021
Default,FRA,FRA_FR21,PV,PEM,2030,Lcoh,2.9428855634848285,0.0,12.675960987569365,49685.46796701625,447.98796430676146
Default,FRA,FRA_FR21,PV,PEM,2030,Volume,1.3605401435571294,0.0,16.657402332814538,28732.82480181945,969.0102265754762
Default,FRA,FRA_FR21,PV,PEM,2030,Profit,2.2271740739801715,0.0,13.02847551676166,43092.00526313802,591.9507272358193
Default,FRA,FRA_FR21,PV,Alkaline,2020,Lcoh,2.2307003388375004,0.0,9.55647894266475,43132.564759858455,591.0149784889438
Default,FRA,FRA_FR21,PV,Alkaline,2020,Volume,1.3605401435571294,0.0,10.998121706988776,28732.82480181945,969.0102265754762
Default,FRA,FRA_FR21,PV,Alkaline,2020,Profit,1.821491403816722,0.0,9.769495440485937,37561.92946529213,723.7900272330793
Default,FRA,FRA_FR21,PV,Alkaline,2025,Lcoh,2.2148740852805484,0.0,8.41737250198841,44447.70039441218,595.2380415369445
Default,FRA,FRA_FR21,PV,Alkaline,2025,Volume,1.3605024313627732,0.0,9.662012366195432,29734.3084291057,969.0370868744036
Default,FRA,FRA_FR21,PV,Alkaline,2025,Profit,1.77619964735688,0.0,8.648083493135728,38106.169338409854,742.2461291078233
Default,FRA,FRA_FR21,PV,Alkaline,2030,Lcoh,2.1924896261277307,0.0,7.487412354306857,45664.02938371282,601.3151884790348
Default,FRA,FRA_FR21,PV,Alkaline,2030,Volume,1.3605024313627732,0.0,8.537287160831193,30736.588488513757,969.0370868744036
Default,FRA,FRA_FR21,PV,Alkaline,2030,Profit,1.7330933601734495,0.0,7.7186665732256765,38608.87369681523,760.707612797836
Default,FRA,FRA_FR21,Onshore,PEM,2020,Lcoh,0.0,3.0841103637664626,12.848395610117587,85782.54831594325,419.0922583101906
Default,FRA,FRA_FR21,Onshore,PEM,2020,Volume,0.0,1.0318387631188883,18.773129341045017,35475.79038101108,1252.644137269948
Default,FRA,FRA_FR21,Onshore,PEM,2020,Profit,0.0,2.40729469848898,13.091754852905312,73200.43106497044,536.9208755538108
Default,FRA,FRA_FR21,Onshore,PEM,2025,Lcoh,0.0,2.9762942160102237,11.958237107469495,85311.6617334248,434.2738598475677
Default,FRA,FRA_FR21,Onshore,PEM,2025,Volume,0.0,1.0318387631188883,16.966351216786485,36043.40302710726,1252.644137269948
Default,FRA,FRA_FR21,Onshore,PEM,2025,Profit,0.0,2.247698256406338,12.237738813507123,70850.78253430272,575.0446144382681
Default,FRA,FRA_FR21,Onshore,PEM,2030,Lcoh,0.0,2.8345327640506137,11.124314156258478,84090.12923222917,455.9928865954257
Default,FRA,FRA_FR21,Onshore,PEM,2030,Volume,0.0,1.0318764753132443,15.356589855692919,36612.35375216304,1252.5983566360312
Default,FRA,FRA_FR21,Onshore,PEM,2030,Profit,0.0,2.0968933797688036,11.445114403243617,68390.00735969009,616.4008097403882
Default,FRA,FRA_FR21,Onshore,Alkaline,2020,Lcoh,0.0,2.1852785910102237,8.936025282271446,70507.48313242572,591.4700224245702
Default,FRA,FRA_FR21,Onshore,Alkaline,2020,Volume,0.0,1.0318764753132443,10.513392228023326,36612.35375216304,1252.5983566360312
Default,FRA,FRA_FR21,Onshore,Alkaline,2020,Profit,0.0,1.6105708210607386,9.169532046912265,55391.26550052456,802.5271290941919
Default,FRA,FRA_FR21,Onshore,Alkaline,2025,Lcoh,0.0,2.1227080191108096,8.332489568687546,71422.09597219972,608.9046470791504
Default,FRA,FRA_FR21,Onshore,Alkaline,2025,Volume,0.0,1.0318764753132443,9.6562759589767,37889.52888305246,1252.5983566360312
Default,FRA,FRA_FR21,Onshore,Alkaline,2025,Profit,0.0,1.5451040112190821,8.56392718081281,55317.26637441145,836.5305946031106
Default,FRA,FRA_FR21,Onshore,Alkaline,2030,Lcoh,0.0,2.0435171390506137,7.740946583831263,71758.33427963307,632.5010701056502
Default,FRA,FRA_FR21,Onshore,Alkaline,2030,Volume,0.0,1.0318387631188883,8.835111636952742,39165.27258063623,1252.644137269948
Default,FRA,FRA_FR21,Onshore,Alkaline,2030,Profit,0.0,1.478649710913748,7.968675662746624,55032.089404334336,874.1264193194335
Default,FRA,FRA_FR21,Hybrid,PEM,2020,Lcoh,1.7220265219137845,2.263857878610178,11.468498503525181,97501.1183108842,327.0465084996413
Default,FRA,FRA_FR21,Hybrid,PEM,2020,Volume,0.0,1.031813909106585,18.773432639723662,35474.93587179694,1252.6743105720566
Default,FRA,FRA_FR21,Hybrid,PEM,2020,Profit,1.0610188302135113,2.0458085039041234,11.843642777671004,84330.4903567217,418.8325100237749
Default,FRA,FRA_FR21,Hybrid,PEM,2025,Lcoh,1.7800395432386134,2.075521578004408,10.538499351765081,96009.31442069875,338.2994884517926
Default,FRA,FRA_FR21,Hybrid,PEM,2025,Volume,0.0,1.031813909106585,16.966614974126156,36042.534845745686,1252.6743105720566
Default,FRA,FRA_FR21,Hybrid,PEM,2025,Profit,0.9480960824932648,1.9656251330531107,11.035688068818468,81928.55722420545,446.4484454222933
Default,FRA,FRA_FR21,Hybrid,PEM,2030,Lcoh,1.7972204306694224,1.9898596415976857,9.718498066305102,95930.5532763638,344.50472838438355
Default,FRA,FRA_FR21,Hybrid,PEM,2030,Volume,0.0,1.031813909106585,15.35716722327108,36610.13381969444,1252.6743105720566
Default,FRA,FRA_FR21,Hybrid,PEM,2030,Profit,0.6933319738781991,1.9478688578592893,10.47018277636618,78138.88414976058,491.90279454325116
Default,FRA,FRA_FR21,Hybrid,Alkaline,2020,Lcoh,1.5718013476370152,1.5234512913900873,8.050498594747955,82373.10825174404,421.78333650015634
Default,FRA,FRA_FR21,Hybrid,Alkaline,2020,Volume,0.0,1.031813909106585,10.513666512854249,36610.13381969444,1252.6743105720566
Default,FRA,FRA_FR21,Hybrid,Alkaline,2020,Profit,0.0,1.6105601488256527,9.16954278357987,55390.95327935854,802.5324469695851
Default,FRA,FRA_FR21,Hybrid,Alkaline,2025,Lcoh,1.630474405678809,1.41680593051196,7.368497466577194,83123.24112199468,428.6546557895249
Default,FRA,FRA_FR21,Hybrid,Alkaline,2025,Volume,0.0,1.031813909106585,9.656514429123732,37887.231511079124,1252.6743105720566
Default,FRA,FRA_FR21,Hybrid,Alkaline,2025,Profit,0.0,1.5451200279530057,8.563911218682888,55317.76253809522,836.5219231162938
Default,FRA,FRA_FR21,Hybrid,Alkaline,2030,Lcoh,1.665413351416662,1.299299768770141,6.758498783261774,82937.97482023825,440.82579418073294
Default,FRA,FRA_FR21,Hybrid,Alkaline,2030,Volume,0.0,1.031813909106585,8.835193071330382,39164.329202463814,1252.6743105720566
Default,FRA,FRA_FR21,Hybrid,Alkaline,2030,Profit,0.0,1.4786457852615416,7.968679503737337,55031.96088794471,874.1287400350107
Default,FRA,FRA_FR22,PV,PEM,2020,Lcoh,3.034574929866444,0.0,16.001793671763117,48878.02657408065,329.13697065204553
Default,FRA,FRA_FR22,PV,PEM,2020,Volume,1.3567778762627043,0.0,21.43206309230547,27840.100972401306,736.1490905085302
Default,FRA,FRA_FR22,PV,PEM,2020,Profit,2.5773276850371456,0.0,16.15805645145753,45277.19960919113,387.52961271918747
Default,FRA,FRA_FR22,PV,PEM,2025,Lcoh,3.000682934567244,0.0,14.157485976240386,49420.13268645033,332.85449393103903
Default,FRA,FRA_FR22,PV,PEM,2025,Volume,1.3567967323598824,0.0,18.82836129162651,28285.935692055176,736.1388598686289
Default,FRA,FRA_FR22,PV,PEM,2025,Profit,2.37531075420881,0.0,14.4363542093056,44062.44646151851,420.4884762396368
Default,FRA,FRA_FR22,PV,PEM,2030,Lcoh,2.9428855634848285,0.0,12.653888529477763,49772.13542950486,339.39165424093596
Default,FRA,FRA_FR22,PV,PEM,2030,Volume,1.3567967323598824,0.0,16.645788434009702,28731.383498229276,736.1388598686289
Default,FRA,FRA_FR22,PV,PEM,2030,Profit,2.2271824178964694,0.0,13.013756662699107,43140.80456329708,448.4548690790328
Default,FRA,FRA_FR22,PV,Alkaline,2020,Lcoh,2.2412710453006137,0.0,9.54593934986532,43302.59472151966,445.6358822495388
Default,FRA,FRA_FR22,PV,Alkaline,2020,Volume,1.3567967323598824,0.0,10.98427104670118,28731.383498229276,736.1388598686289
Default,FRA,FRA_FR22,PV,Alkaline,2020,Profit,1.8018219665033055,0.0,9.792244795405441,37252.624684080234,554.3226901441222
Default,FRA,FRA_FR22,PV,Alkaline,2025,Lcoh,2.222478678255079,0.0,8.407940245036302,44589.493050529585,449.40399627008316
Default,FRA,FRA_FR22,PV,Alkaline,2025,Volume,1.3567778762627043,0.0,9.64963131569051,29733.227838524595,736.1490905085302
Default,FRA,FRA_FR22,PV,Alkaline,2025,Profit,1.7605711428497717,0.0,8.663933961526302,37853.108212054496,567.3106728400529
Default,FRA,FRA_FR22,PV,Alkaline,2030,Lcoh,2.2036258436361957,0.0,7.479270291072171,45856.012179299956,453.2488137753837
Default,FRA,FRA_FR22,PV,Alkaline,2030,Volume,1.3567778762627043,0.0,8.526018300602393,30735.47147353104,736.1490905085302
Default,FRA,FRA_FR22,PV,Alkaline,2030,Profit,1.718217463601655,0.0,7.731548615939023,38360.697270577286,581.2947550534504
Default,FRA,FRA_FR22,Onshore,PEM,2020,Lcoh,0.0,3.0876339325875004,12.209433932473143,90333.18004802597,317.1381995682872
Default,FRA,FRA_FR22,Onshore,PEM,2020,Volume,0.0,1.0305376417571415,17.883643865235847,37224.80018091736,950.1901013893404
Default,FRA,FRA_FR22,Onshore,PEM,2020,Profit,0.0,2.382640445041338,12.487061556872902,76325.58219697182,410.9754236501098
Default,FRA,FRA_FR22,Onshore,PEM,2025,Lcoh,0.0,2.9762942160102237,11.364710778710366,89767.09560894717,329.0019719956968
Default,FRA,FRA_FR22,Onshore,PEM,2025,Volume,0.0,1.0305376417571415,16.161955884943882,37820.39698381204,950.1901013893404
Default,FRA,FRA_FR22,Onshore,PEM,2025,Profit,0.0,2.2311843987703677,11.67682933606644,73956.95777655854,438.8730339125724
Default,FRA,FRA_FR22,Onshore,PEM,2030,Lcoh,0.0,2.8691787740769494,10.574838001895245,89137.7987852082,341.28464742381664
Default,FRA,FRA_FR22,Onshore,PEM,2030,Volume,0.0,1.0305753539514977,14.628047048332839,38417.399607673724,950.1553307598648
Default,FRA,FRA_FR22,Onshore,PEM,2030,Profit,0.0,2.1186380217577048,10.892647845613556,72271.98242985895,462.1868654534775
Default,FRA,FRA_FR22,Onshore,Alkaline,2020,Lcoh,0.0,2.2322065199347843,8.517061952564932,75146.85387322486,438.6720751695315
Default,FRA,FRA_FR22,Onshore,Alkaline,2020,Volume,0.0,1.0305753539514977,10.012221217658153,38417.399607673724,950.1553307598648
Default,FRA,FRA_FR22,Onshore,Alkaline,2020,Profit,0.0,1.529329932108108,8.829951002850299,55566.05824077211,640.2847716169136
Default,FRA,FRA_FR22,Onshore,Alkaline,2025,Lcoh,0.0,2.1602221016161773,7.94497315595924,75898.04514016461,453.2898101422781
Default,FRA,FRA_FR22,Onshore,Alkaline,2025,Volume,0.0,1.0305753539514977,9.195696873423543,39757.54145445303,950.1553307598648
Default,FRA,FRA_FR22,Onshore,Alkaline,2025,Profit,0.0,1.467337474706518,8.240958224087178,55501.969783475484,667.3356901094625
Default,FRA,FRA_FR22,Onshore,Alkaline,2030,Lcoh,0.0,2.09826326041486,7.3854644933941875,76746.90308027466,466.67483760505115
Default,FRA,FRA_FR22,Onshore,Alkaline,2030,Volume,0.0,1.0305753539514977,8.413320752871185,41097.68330123235,950.1553307598648
Default,FRA,FRA_FR22,Onshore,Alkaline,2030,Profit,0.0,1.420041564051513,7.647520034502508,55756.535318254,689.5619755755464
Default,FRA,FRA_FR22,Hybrid,PEM,2020,Lcoh,1.5922373171130866,2.36036832577128,11.211497440883445,100285.98923770546,249.70937323461595
Default,FRA,FRA_FR22,Hybrid,PEM,2020,Volume,0.0,1.0305500443171078,17.883499448560972,37225.24818281246,950.1786659527239
Default,FRA,FRA_FR22,Hybrid,PEM,2020,Profit,0.5193224359590517,2.220243419339771,11.907047020137734,81966.06846868219,358.7648358279483
Default,FRA,FRA_FR22,Hybrid,PEM,2025,Lcoh,1.6387795177572346,2.1986091540176864,10.316498624877319,99191.07995963415,257.33005432449727
Default,FRA,FRA_FR22,Hybrid,PEM,2025,Volume,0.0,1.0305500443171078,16.161830296009107,37820.852153737455,950.1786659527239
Default,FRA,FRA_FR22,Hybrid,PEM,2025,Profit,0.2636814018158043,2.1757908315263603,11.326860076202804,77580.37728507975,402.25356688441167
Default,FRA,FRA_FR22,Hybrid,PEM,2030,Lcoh,1.6699258223785138,2.084721346852584,9.522497835167437,98690.15900195586,263.09297367787394
Default,FRA,FRA_FR22,Hybrid,PEM,2030,Volume,0.0,1.0305500443171078,14.628269907455204,38416.45612466246,950.1786659527239
Default,FRA,FRA_FR22,Hybrid,PEM,2030,Profit,0.0,2.1186398979712875,10.892645898591441,72272.03100830736,462.18645615255025
Default,FRA,FRA_FR22,Hybrid,Alkaline,2020,Lcoh,1.4781849266681935,1.4773745522285437,7.857499113170225,81833.07210454949,334.5912926036694
Default,FRA,FRA_FR22,Hybrid,Alkaline,2020,Volume,0.0,1.0305500443171078,10.012327089340266,38416.45612466246,950.1786659527239
Default,FRA,FRA_FR22,Hybrid,Alkaline,2020,Profit,0.0,1.5292964157153386,8.829987477063183,55565.02198955035,640.2988042371887
Default,FRA,FRA_FR22,Hybrid,Alkaline,2025,Lcoh,1.5361413964718298,1.3956200638332785,7.192498076647476,83205.13397199831,337.46650690055736
Default,FRA,FRA_FR22,Hybrid,Alkaline,2025,Volume,0.0,1.0305500443171078,9.195788920933111,39756.5650592437,950.1786659527239
Default,FRA,FRA_FR22,Hybrid,Alkaline,2025,Profit,0.0,1.467318220424568,8.240978938313216,55501.33925006114,667.3444469485405
Default,FRA,FRA_FR22,Hybrid,Alkaline,2030,Lcoh,1.5713898299184133,1.326937496675897,6.59949752489552,84441.86433220506,341.482575099155
Default,FRA,FRA_FR22,Hybrid,Alkaline,2030,Volume,0.0,1.0305500443171078,8.413399877784684,41096.67399382495,950.1786659527239
Default,FRA,FRA_FR22,Hybrid,Alkaline,2030,Profit,0.0,1.4200629929650028,7.647497896095387,55757.27684065711,689.5515700062205
Default,FRA,FRA_FR23,PV,PEM,2020,Lcoh,3.014777209851395,0.0,15.750924127230425,49517.57948036598,209.57604373000555
Default,FRA,FRA_FR23,PV,PEM,2020,Volume,1.3404310310813294,0.0,20.9345653054424,28415.38842148488,471.35963411585976
Default,FRA,FRA_FR23,PV,PEM,2020,Profit,2.4813828307044057,0.0,15.934719922229277,45246.211701994376,254.62619977453457
Default,FRA,FRA_FR23,PV,PEM,2025,Lcoh,2.9762942160102237,0.0,13.933440181101343,50036.884003985986,212.28582744585415
Default,FRA,FRA_FR23,PV,PEM,2025,Volume,1.3404310310813294,0.0,18.389807610195515,28870.03463622864,471.35963411585976
Default,FRA,FRA_FR23,PV,PEM,2025,Profit,2.2830930158811915,0.0,14.249498115055037,43982.45695510344,276.7408405934694
Default,FRA,FRA_FR23,PV,PEM,2030,Lcoh,2.9137236441108096,0.0,12.450421756805817,50361.71270217953,216.84454585975539
Default,FRA,FRA_FR23,PV,PEM,2030,Volume,1.3404498871785075,0.0,16.255516925975527,29325.093366811718,471.35300350389
Default,FRA,FRA_FR23,PV,PEM,2030,Profit,2.164494448602227,0.0,12.817818861500502,43332.95358189823,291.9042276943958
Default,FRA,FRA_FR23,PV,Alkaline,2020,Lcoh,2.1783953508435796,0.0,9.34324413787715,43498.12520418683,290.0415115756499
Default,FRA,FRA_FR23,PV,Alkaline,2020,Volume,1.3404498871785075,0.0,10.70026628794365,29325.093366811718,471.35300350389
Default,FRA,FRA_FR23,PV,Alkaline,2020,Profit,1.7543751961639762,0.0,9.591103832314746,37487.03120681302,360.142506431666
Default,FRA,FRA_FR23,PV,Alkaline,2025,Lcoh,2.1852785910102237,0.0,8.229129449506187,45098.904283222,289.12793223126585
Default,FRA,FRA_FR23,PV,Alkaline,2025,Volume,1.3404498871785075,0.0,9.399449889473324,30348.061740072593,471.35300350389
Default,FRA,FRA_FR23,PV,Alkaline,2025,Profit,1.7182148261213703,0.0,8.481337284333652,38160.452817534715,367.72181846102256
Default,FRA,FRA_FR23,PV,Alkaline,2030,Lcoh,2.1474104216957026,0.0,7.317480621496578,46135.82339184026,294.2265130058926
Default,FRA,FRA_FR23,PV,Alkaline,2030,Volume,1.3404498871785075,0.0,8.30355310349966,31371.030113333465,471.35300350389
Default,FRA,FRA_FR23,PV,Alkaline,2030,Profit,1.6750368405684462,0.0,7.5695904114703,38636.38186291737,377.2007069131816
Default,FRA,FRA_FR23,Onshore,PEM,2020,Lcoh,0.0,2.8345327640506137,11.293589020933911,92895.58070801884,218.53208442608053
Default,FRA,FRA_FR23,Onshore,PEM,2020,Volume,0.0,1.0191923179198952,16.006289701438643,41440.197578837615,607.7718036240983
Default,FRA,FRA_FR23,Onshore,PEM,2020,Profit,0.0,2.0924700353546095,11.664686342849217,76419.65478256223,296.03117026095174
Default,FRA,FRA_FR23,Onshore,PEM,2025,Lcoh,0.0,2.751105334851395,10.487999122652665,92758.47186807322,225.15908258942034
Default,FRA,FRA_FR23,Onshore,PEM,2025,Volume,0.0,1.0192300301142514,14.460944328943388,42104.79864587391,607.7493156599437
Default,FRA,FRA_FR23,Onshore,PEM,2025,Profit,0.0,1.9619517177325332,10.887753289813343,74119.98421525992,315.72456534144226
Default,FRA,FRA_FR23,Onshore,PEM,2030,Lcoh,0.0,2.63986876258577,9.737787991506044,91924.74797961887,234.646646864088
Default,FRA,FRA_FR23,Onshore,PEM,2030,Volume,0.0,1.0192488862114295,13.084970188039865,42768.65756094658,607.7380723019072
Default,FRA,FRA_FR23,Onshore,PEM,2030,Profit,0.0,1.8559985421552088,10.145333867675392,72236.06291302179,333.74829733578497
Default,FRA,FRA_FR23,Onshore,Alkaline,2020,Lcoh,0.0,2.024724772005079,7.7363842542773416,77029.98756217131,305.93607677777067
Default,FRA,FRA_FR23,Onshore,Alkaline,2020,Volume,0.0,1.0192488862114295,8.93729827336594,42768.65756094658,607.7380723019072
Default,FRA,FRA_FR23,Onshore,Alkaline,2020,Profit,0.0,1.4082662781978668,8.046016817603094,57782.06747615581,439.8574068639077
Default,FRA,FRA_FR23,Onshore,Alkaline,2025,Lcoh,0.0,1.9798874298664437,7.204906818890549,78433.81192225448,312.864430551885
Default,FRA,FRA_FR23,Onshore,Alkaline,2025,Volume,0.0,1.0192300301142514,8.206412879719943,44259.768655308406,607.7493156599437
Default,FRA,FRA_FR23,Onshore,Alkaline,2025,Profit,0.0,1.3625852695609701,7.491201073802983,58118.104404755955,454.6037353695924
Default,FRA,FRA_FR23,Onshore,Alkaline,2030,Lcoh,0.0,1.9002840973059343,6.684682150993503,78661.01476871292,325.97039262717914
Default,FRA,FRA_FR23,Onshore,Alkaline,2030,Volume,0.0,1.0192300301142514,7.5061557531741645,45751.67096953228,607.7493156599437
Default,FRA,FRA_FR23,Onshore,Alkaline,2030,Profit,0.0,1.3184033069442618,6.9459282708611125,58358.944461792235,469.83828851104965
Default,FRA,FRA_FR23,Hybrid,PEM,2020,Lcoh,1.4639711872855048,2.2459904946970677,10.511498156116941,103302.90801598849,168.26764885521953
